key,Data,Model,Model Params,Mean Score
"('constant_step_epsilon_greedy', 'DATA_B', (0.01, 0.0625))",DATA_B,constant_step_epsilon_greedy,"(0.01, 0.0625)",2.23436737140238
"('gradient_bandit', 'DATA_B', 0.1125)",DATA_B,gradient_bandit,0.1125,0.09299478403641054
"('gradient_bandit', 'DATA_B', 0.05625)",DATA_B,gradient_bandit,0.05625,-0.0011187954647848529
"('optimistic_greedy', 'DATA_B', 7)",DATA_B,optimistic_greedy,7,0.04914244331408281
"('constant_step_epsilon_greedy', 'DATA_B', (0.1, 0.0625))",DATA_B,constant_step_epsilon_greedy,"(0.1, 0.0625)",1.5111961466888508
"('constant_step_epsilon_greedy', 'DATA_B', (0.25, 0.0625))",DATA_B,constant_step_epsilon_greedy,"(0.25, 0.0625)",1.1468384701853649
"('ucb', 'DATA_B', 6)",DATA_B,ucb,6,0.7889498004716464
"('optimistic_greedy', 'DATA_C', 10)",DATA_C,optimistic_greedy,10,7.877192076908561
"('epsilon_greedy', 'DATA_D', 0.0625)",DATA_D,epsilon_greedy,0.0625,12.100383849032214
"('constant_step_epsilon_greedy', 'DATA_C', (0.1, 0.0625))",DATA_C,constant_step_epsilon_greedy,"(0.1, 0.0625)",7.473125635580133
"('epsilon_greedy', 'DATA_C', 0.0625)",DATA_C,epsilon_greedy,0.0625,7.4412496614151555
"('optimistic_greedy', 'DATA_D', 0)",DATA_D,optimistic_greedy,0,9.182268730957635
"('optimistic_greedy', 'DATA_C', 0)",DATA_C,optimistic_greedy,0,3.9211312355927137
"('ucb', 'DATA_D', 1.5)",DATA_D,ucb,1.5,12.936814764697461
"('constant_step_epsilon_greedy', 'DATA_D', (0.1, 0.125))",DATA_D,constant_step_epsilon_greedy,"(0.1, 0.125)",11.182667827572478
"('gradient_bandit', 'DATA_C', 0.225)",DATA_C,gradient_bandit,0.225,5.2515146082697255
"('ucb', 'DATA_C', 1.5)",DATA_C,ucb,1.5,8.447711790035939
"('constant_step_epsilon_greedy', 'DATA_A', (0.1, 0.125))",DATA_A,constant_step_epsilon_greedy,"(0.1, 0.125)",5.529467089893906
"('constant_step_epsilon_greedy', 'DATA_B', (0.1, 0.125))",DATA_B,constant_step_epsilon_greedy,"(0.1, 0.125)",1.6946769730066562
"('gradient_bandit', 'DATA_D', 0.225)",DATA_D,gradient_bandit,0.225,11.910282117878062
"('constant_step_epsilon_greedy', 'DATA_C', (0.1, 0.125))",DATA_C,constant_step_epsilon_greedy,"(0.1, 0.125)",7.817573001002944
"('constant_step_epsilon_greedy', 'DATA_D', (0.1, 0.0625))",DATA_D,constant_step_epsilon_greedy,"(0.1, 0.0625)",10.435585237313353
"('optimistic_greedy', 'DATA_B', 10)",DATA_B,optimistic_greedy,10,0.04914825413173791
"('optimistic_greedy', 'DATA_A', 10)",DATA_A,optimistic_greedy,10,6.816475323570986
"('ucb', 'DATA_D', 6)",DATA_D,ucb,6,12.859007924114511
"('optimistic_greedy', 'DATA_D', 10)",DATA_D,optimistic_greedy,10,12.721361633628424
"('ucb', 'DATA_C', 6)",DATA_C,ucb,6,8.45317877073103
